tipologia,regiao,metragem_min,preco_min
1 Dorm,Bela Vista,33.69,4410
1 Dorm,Jardins,31.78,5180
1 Dorm,Paraiso,34.8,5070
1 Dorm,Pinheiros,30.78,4860
1 Dorm,Vila Madalena,31.46,4030
1 Dorm,Vila Mariana,32.74,4700
1 Dorm Custom,Bela Vista,36.09,3830
1 Dorm Custom,Itaim,32.84,5630
1 Dorm Custom,Jardins,26.18,6200
1 Dorm Custom,Paraiso,31.97,5430
1 Dorm Custom,Vila Mariana,40.86,3940
1 Dorm Custom Garden,Jardins,43.13,6000
1 Dorm Custom Garden,Paraiso,66.17,5930
1 Dorm Custom Garden PCD,Jardins,61.78,8600
1 Dorm Custom PCD,Paraiso,39.92,5790
1 Dorm Custom Plus,Jardins,46.75,7500
1 Dorm Custom Plus PCD,Jardins,45.88,7380
1 Dorm FX,Paraiso,41.3,6610
1 Dorm FX,Vila Mariana,40.86,4740
1 Dorm Garden,Bela Vista,56.46,5910
1 Dorm Garden,Paraiso,64.2,6350
1 Dorm Garden,Pinheiros,41.1,5300
1 Dorm Garden,Vila Madalena,63.09,5560
1 Dorm Plus,Bela Vista,36.09,4710
1 Dorm Plus,Itaim,38.16,7010
1 Dorm Plus,Jardins,45.84,7400
1 Dorm Plus,Paraiso,39.55,5570
1 Dorm Plus,Pinheiros,43.54,5860
1 Dorm Plus,Vila Mariana,40.84,5630
1 Dorm Plus Garden,Itaim,69.45,8000
1 Dorm Plus PCD,Jardins,45.84,7400
2 Dorm,Bela Vista,53.88,7060
2 Dorm,Itaim,58.55,10460
2 Dorm,Jardins,51.66,9040
2 Dorm,Paraiso,47.21,6650
2 Dorm,Pinheiros,48.59,6460
2 Dorm,Vila Madalena,46.71,6140
2 Dorm,Vila Mariana,60.25,8130
2 Dorm Custom,Bela Vista,66.14,9930
2 Dorm Custom,Itaim,68.47,11740
2 Dorm Custom,Jardins,57.26,9330
2 Dorm Custom,Paraiso,62.54,8620
2 Dorm Custom Juncao,Paraiso,71.64,9850
2 Dorm Garden,Itaim,108.43,12020
2 Dorm Garden,Paraiso,87.24,7853
2 Dorm Garden,Vila Madalena,64.14,7570
2 Dorm Garden,Vila Mariana,71.16,9410
2 Dorm Juncao,Bela Vista,48.72,6430
2 Dorm Juncao,Paraiso,66.58,8680
2 Dorm Juncao,Pinheiros,67.81,9930
2 Dorm Juncao,Vila Madalena,65.92,8740
2 Dorm Juncao,Vila Mariana,65.74,8920
2 Dorm Plus,Vila Madalena,54.53,7170
3 Dorm,Itaim,93.98,17540
3 Dorm Garden,Itaim,132.08,20000
Duplex,Jardins,142.29,25320
Studio,Bela Vista,29.7,4320
Studio,Paraiso,32.93,4670
Studio,Pinheiros,33.3,5230
Studio,Vila Madalena,31.85,4480
Studio Custom,Bela Vista,27.77,3580
Studio Custom,Itaim,34.96,7070
Studio Custom,Paraiso,28.09,4620
Studio Custom,Vila Mariana,29.24,3940
Studio Custom Garden,Bela Vista,51.97,5280
Studio Custom Garden,Paraiso,52.11,5710
Studio Custom PCD,Bela Vista,34.46,4120
Studio Custom PCD,Vila Mariana,41.07,4200
Studio Custom Plus,Paraiso,39.87,5600
Studio FX,Paraiso,28.07,5420
Studio PCD,Pinheiros,48.59,6360
Studio Partition,Bela Vista,29.7,4320
Studio Partition,Jardins,31.78,5470
Studio Partition,Paraiso,32.93,4610
Studio Partition,Pinheiros,30.78,4230
Studio Partition,Vila Madalena,31.85,4030
Studio Partition,Vila Mariana,32.74,4680
