tipologia,regiao,area,valor
Studio Custom,Frei Caneca,27.77,3580.0
Studio Custom,Bela Vista,31.71,3660.0
1 Dorm Custom,Bela Vista,36.09,3830.0
Studio Custom,Vila Mariana,29.24,3940.0
Studio Custom PCD,Frei Caneca,34.46,4120.0
Studio Custom PCD,Vila Mariana,41.07,4200.0
Studio,Bela Vista,31.71,4320.0
Studio Partition,Vila Madalena,31.85,4340.0
Studio Partition,Bela Vista,31.71,4350.0
Studio Partition,Frei Caneca,29.7,4370.0
1 Dorm,Vila Madalena,31.88,4450.0
Studio,Vila Madalena,31.85,4530.0
Studio Custom,Paraiso,28.09,4620.0
Studio,Frei Caneca,30.06,4690.0
1 Dorm Plus,Bela Vista,36.09,4710.0
1 Dorm,Vila Mariana,33.65,4720.0
1 Dorm,Capote Valente,37.11,4900.0
Studio Partition,Paraiso,33.07,4910.0
Studio Partition,Capote Valente,31.75,4910.0
1 Dorm,Pinheiros,30.78,4990.0
Studio Partition,Paraiso Paulista,35.04,5070.0
1 Dorm,Paraiso Paulista,34.8,5070.0
Studio Partition,Pinheiros,30.78,5090.0
1 Dorm,Frei Caneca,34.52,5100.0
Studio Custom Garden,Frei Caneca,51.97,5280.0
1 Dorm Custom,Paraiso Paulista,31.97,5430.0
Studio Custom,Paraiso Paulista,35.03,5430.0
Studio Custom Plus,Paraiso,39.87,5600.0
1 Dorm Custom,Itaim Bibi,32.84,5630.0
Studio Custom Garden,Paraiso Paulista,52.11,5710.0
1 Dorm Garden,Frei Caneca,59.7,5910.0
1 Dorm Plus,Capote Valente,43.54,5910.0
1 Dorm Plus,Paraiso Paulista,39.55,5910.0
1 Dorm Custom Garden,Paraiso Paulista,66.17,5930.0
1 Dorm Custom Garden,Alameda Itu,43.13,6000.0
1 Dorm Custom,Alameda Itu,29.9,6200.0
1 Dorm Garden,Paraiso Paulista,64.2,6350.0
Studio PCD,Capote Valente,48.59,6360.0
1 Dorm,Melo Alves,37.97,6390.0
1 Dorm Custom,Melo Alves,38.05,6410.0
2 Dorm,Capote Valente,48.59,6460.0
2 Dorm Juncao,Frei Caneca,48.72,6680.0
1 Dorm Plus,Itaim Bibi,38.16,7010.0
Studio Custom,Itaim Bibi,34.96,7070.0
2 Dorm,Frei Caneca,53.88,7160.0
2 Dorm,Paraiso Paulista,47.21,7240.0
1 Dorm Custom Plus PCD,Melo Alves,45.88,7380.0
1 Dorm Plus,Melo Alves,45.84,7400.0
1 Dorm Plus PCD,Melo Alves,45.84,7400.0
1 Dorm Custom Plus,Melo Alves,46.75,7500.0
1 Dorm,Alameda Itu,45.54,7980.0
1 Dorm Plus Garden,Itaim Bibi,69.45,8000.0
2 Dorm,Vila Mariana,60.25,8600.0
2 Dorm Custom,Paraiso Paulista,62.54,8620.0
2 Dorm Juncao,Vila Mariana,65.74,8920.0
2 Dorm,Melo Alves,57.45,9040.0
2 Dorm,Paraiso,56.16,9060.0
2 Dorm Custom,Melo Alves,57.26,9330.0
2 Dorm Custom Juncao,Paraiso Paulista,71.64,9850.0
2 Dorm Custom,Bela Vista,66.14,9930.0
2 Dorm Juncao,Pinheiros,67.81,10010.0
2 Dorm,Pinheiros,60.21,10360.0
2 Dorm,Itaim Bibi,58.55,10460.0
2 Dorm Custom,Itaim Bibi,68.47,11740.0
2 Dorm Garden,Itaim Bibi,108.43,12020.0
2 Dorm,Alameda Itu,63.35,12130.0
3 Dorm,Itaim Bibi,93.98,17540.0
3 Dorm Garden,Itaim Bibi,132.08,20000.0
Duplex,Melo Alves,142.29,25320.0
